post_id,timestamp,text,category,sentiment,language,has_link,likes,comments,shares,is_spam
1502,2024-11-25 10:10:00,Mental health matters. Take a break. 🎉,health_wellness,negative,hi,0,4,1,0,0
2587,2025-03-28 14:41:00,Having trouble logging into my Stark account—any fix?,customer_support,neutral,en,0,8,0,2,0
2654,2025-05-20 02:31:00,When you open the fridge and forget why you came: 🔥 #relatable,meme_joke,positive,en,0,74,18,4,0
1056,2025-01-31 16:39:00,In-depth: What market rally means for New York.,news,neutral,en,1,10,2,2,0
706,2024-02-25 04:12:00,Transfer rumor: J. Smith to City?,sports,positive,en,0,53,9,12,0
107,2023-05-19 16:56:00,Opinion: privacy law will impact seniors the most.,politics,negative,en,0,10,1,1,0
590,2023-09-29 20:34:00,Tough loss for Warriors. Refs were wild.,sports,negative,en,0,40,4,8,0
2469,2023-10-25 10:14:00,Matchday! Lions vs Tigers at 8pm. Predictions?,sports,neutral,en,0,86,25,11,0
2414,2023-12-18 22:58:00,Me: I’ll sleep early. Also me at 3am: 🙌,meme_joke,positive,en,0,108,40,20,0
1601,2024-01-24 12:55:00,Feature request: please add offline sync to smartwatch.,product_feedback,neutral,en,0,24,5,4,0
2465,2025-05-07 02:41:00,Exclusive: sneakers bundle for $171!,promotion,positive,fr,1,36,6,3,0
229,2023-01-17 22:12:00,Tough loss for Royals. Refs were wild.,sports,positive,en,0,23,2,1,0
916,2023-07-22 02:33:00,Feeling happy today! 🙌 #News,personal_update,negative,en,0,17,3,2,0
795,2023-01-05 17:29:00,The sneakers design is sleek but camera needs work.,product_feedback,neutral,en,0,21,4,6,0
3022,2024-09-16 00:25:00,Debate tonight on healthcare. What are your thoughts?,politics,negative,en,0,49,18,11,0
3544,2025-07-20 05:03:00,Tough loss for Royals. Refs were wild.,sports,positive,en,1,27,6,4,0
1074,2024-02-03 19:45:00,Debate tonight on privacy law. What are your thoughts?,politics,negative,en,0,31,6,3,0
3352,2023-04-01 20:38:00,Warriors with an unbelievable win tonight! #Health,sports,negative,en,0,59,7,9,0
1745,2023-12-13 08:19:00,Missed my mom today. 🥲,personal_update,positive,hi,1,57,11,4,0
1085,2024-03-05 22:31:00,The headphones design is sleek but camera needs work.,product_feedback,negative,de,0,9,1,1,0
927,2023-09-02 13:32:00,Public health update: policy change cases rising in New York.,health_wellness,positive,en,0,19,5,3,0
3050,2023-09-29 22:42:00,Just had paneer tikka with friends. So good! 🤔,personal_update,positive,de,0,8,1,2,0
1118,2023-03-28 03:25:00,When you open the fridge and forget why you came: 🎉 #relatable,meme_joke,positive,en,0,150,41,16,0
643,2023-08-05 00:36:00,New drop: smartwatch! Grab yours today.,promotion,neutral,es,0,40,6,5,0
4768,2024-07-06 14:19:00,Record broken: A. Singh sets new high for aces.,sports,negative,en,1,51,18,5,0
502,2024-09-02 03:46:00,Fact check: claims about climate action and taxes.,politics,neutral,es,0,67,12,8,0
4067,2024-04-30 13:04:00,The Initech app keeps crashing after update.,customer_support,negative,en,0,18,5,1,0
334,2024-06-21 12:32:00,When you open the fridge and forget why you came: 😴 #relatable,meme_joke,neutral,en,0,138,22,38,0
4685,2025-04-16 21:34:00,Photos from tech summit are up—tag yourself!,event,positive,hi,1,70,22,18,0
487,2025-03-29 09:47:00,Feature request: please add faster charging to headphones.,product_feedback,positive,es,0,8,1,1,0
1963,2023-04-01 06:42:00,Photos from tech summit are up—tag yourself!,event,neutral,en,0,84,18,13,0
394,2024-10-25 18:21:00,Tried low-carb for a week—here’s how I feel.,health_wellness,neutral,fr,1,24,7,1,0
4843,2024-03-28 09:37:00,Meetup at Berlin for book club. RSVP below.,event,positive,de,0,32,11,9,0
4867,2025-05-18 20:54:00,Starting a 30-day cycling challenge. Who’s in?,health_wellness,positive,en,0,74,28,12,0
1756,2025-01-22 09:19:00,Exclusive: headphones bundle for $128!,promotion,positive,hi,0,53,17,13,0
2516,2023-12-05 16:29:00,Just had sushi with friends. So good! 🎉,personal_update,positive,en,0,49,8,6,0
3586,2025-02-26 18:05:00,Missed my sister today. 🥲,personal_update,positive,fr,0,42,13,5,0
4316,2023-01-23 02:37:00,Having trouble logging into my Initech account—any fix?,customer_support,positive,de,1,3,0,0,0
4967,2025-01-23 00:38:00,Meetup at Sydney for book club. RSVP below.,event,positive,en,0,109,37,11,0
2100,2025-05-03 04:15:00,Just had ramen with friends. So good! 😴,personal_update,negative,es,0,50,9,8,0
3600,2025-08-01 05:20:00,Breaking: policy change just happened in London. Details emerging. #News,news,positive,en,0,20,2,4,0
4122,2024-05-10 21:26:00,Friend: ‘We should work out.’ Us: 🥲,meme_joke,positive,en,0,139,50,21,0
30,2024-11-13 00:57:00,Reminder: drink water and stretch today! 🥲,health_wellness,positive,fr,0,64,18,10,0
66,2023-12-19 22:04:00,Having trouble logging into my Umbrella account—any fix?,customer_support,negative,de,0,6,1,0,0
839,2023-10-09 09:47:00,Updating to say coffee maker performance improved after patch.,product_feedback,positive,es,0,34,13,3,0
3907,2024-01-20 14:26:00,Latest update on data breach: authorities confirm new info.,news,neutral,es,0,92,14,17,0
3774,2024-02-05 07:35:00,Friend: ‘We should work out.’ Us: 😂,meme_joke,neutral,en,0,85,9,4,0
4636,2023-03-03 08:38:00,Feeling meh today! 🙌 #Fitness,personal_update,neutral,en,0,8,1,1,0
3162,2023-05-30 02:50:00,FLASH SALE: headphones at 40% off. Limited time! #Breaking,promotion,positive,hi,1,32,3,9,0
2660,2025-05-21 17:28:00,"New day, new goals. #News 😴",personal_update,positive,es,0,52,5,8,0
4616,2023-08-22 03:50:00,City with an unbelievable win tonight! #LOL,sports,positive,es,0,29,4,6,0
4629,2025-05-02 20:43:00,Transfer rumor: L. Chen to United?,sports,positive,hi,0,40,12,3,0
2452,2023-09-11 22:07:00,Public health update: power outage cases rising in Toronto.,health_wellness,positive,hi,0,46,16,2,0
2847,2025-06-06 10:33:00,Use code WELCOME10 for free shipping on laptop.,promotion,positive,es,0,26,4,2,0
1145,2024-01-08 00:11:00,Rally at Delhi calling for education reform reform.,politics,neutral,en,0,13,4,2,0
3079,2024-10-14 10:54:00,Just had tacos with friends. So good! 🔥,personal_update,positive,en,0,63,24,4,0
1104,2023-02-01 21:17:00,Record broken: R. Patel sets new high for runs.,sports,positive,en,0,58,21,6,0
169,2023-11-21 08:33:00,"New day, new goals. #Tech 🔥",personal_update,negative,hi,0,48,8,9,0
1671,2023-05-26 22:33:00,Reminder: drink water and stretch today! 🎉,health_wellness,positive,en,0,76,27,22,0
2571,2023-08-11 17:08:00,FLASH SALE: laptop at 70% off. Limited time! #Health,promotion,positive,en,0,62,8,17,0
2378,2024-10-06 15:44:00,Join us at the charity run this Sunday! Tickets available now. #Event,event,positive,en,0,41,15,10,0
4396,2025-03-01 07:01:00,Countdown to music festival: only 8 days left!,event,neutral,hi,0,44,5,4,0
4258,2023-05-18 07:56:00,This cat has more confidence than me 😴,meme_joke,negative,de,1,119,47,13,0
